[Name]
Series1Cp at /POLYLINE:Polyline 1

[Data]
X [ m ],Pressure Coefficient
-2.86873937e+00, -3.36925499e-02
-2.87600899e+00, -3.31820063e-02
-2.88142872e+00, -3.26692462e-02
-2.88874507e+00, -3.24491188e-02
-2.89368367e+00, -3.26223932e-02
-2.90078640e+00, -3.58222686e-02
-2.90584946e+00, -3.15346867e-02
-2.91197681e+00, -2.57099643e-02
-2.91883039e+00, -2.79026031e-02
-2.92354655e+00, -2.84603219e-02
-2.93106842e+00, -2.85144579e-02
-2.93509221e+00, -2.71696299e-02
-2.94249439e+00, -2.52867956e-02
-2.94672894e+00, -2.50777528e-02
-2.95340800e+00, -2.48240381e-02
-2.95767856e+00, -2.47542709e-02
-2.96423149e+00, -2.42738556e-02
-2.96796203e+00, -2.33629756e-02
-2.97450614e+00, -2.53938716e-02
-2.97809839e+00, -2.37495229e-02
-2.98377895e+00, -1.93371270e-02
-2.98862505e+00, -2.03913748e-02
-2.99312568e+00, -2.11208351e-02
-2.99829388e+00, -2.30695046e-02
-3.00284433e+00, -1.80859901e-02
-3.00717688e+00, -1.14685940e-02
-3.01331377e+00, -1.46519793e-02
-3.01716685e+00, -1.90134421e-02
-3.02172565e+00, -1.90971829e-02
-3.02677774e+00, -1.63471065e-02
-3.03164172e+00, -1.52517371e-02
-3.03646612e+00, -1.22730462e-02
-3.04133701e+00, -1.06036523e-02
-3.04618740e+00, -7.54086301e-03
-3.05096602e+00, -7.58337602e-03
-3.05572462e+00, -5.66314859e-03
-3.06043744e+00, -5.11998590e-03
-3.06510973e+00, -6.69730082e-03
-3.06948209e+00, -1.19434753e-02
-3.07304716e+00, -7.50607625e-03
-3.07566214e+00, -2.10905913e-03
-3.08015919e+00, -4.48865723e-03
-3.08445668e+00, -6.27723197e-03
-3.08714890e+00, -2.43994058e-03
-3.09076738e+00, -1.72310066e-03
-3.09465075e+00, 1.03202171e-03
-3.09546089e+00, 1.95278169e-03
-3.09712815e+00, 3.16553679e-03
-3.10053682e+00, -2.93220728e-05
-3.10401630e+00, 1.87050365e-03
-3.10617852e+00, 3.37570021e-03
-3.11006141e+00, 5.95113961e-03
-3.11262608e+00, 8.10282771e-03
-3.11568356e+00, 4.29317541e-03
-3.11924863e+00, 3.27218533e-03
-3.12166023e+00, 5.84169151e-03
-3.12380981e+00, 8.32065567e-03
-3.12683082e+00, 1.60694420e-02
-3.13018703e+00, 1.87845994e-02
-3.13350272e+00, 9.78401490e-03
-3.13647914e+00, 1.06965387e-02
-3.13701487e+00, 1.23030469e-02
-3.13863754e+00, 1.76077578e-02
-3.14112258e+00, 2.14454345e-02
-3.14400697e+00, 1.47346295e-02
-3.14683890e+00, 1.63614079e-02
-3.14899874e+00, 2.34942771e-02
-3.15100622e+00, 2.47835461e-02
-3.15373468e+00, 1.86912101e-02
-3.15629125e+00, 2.06633694e-02
-3.15664077e+00, 2.15331651e-02
-3.15801907e+00, 2.51742918e-02
-3.16016698e+00, 2.81080808e-02
-3.16259432e+00, 3.16610336e-02
-3.16478205e+00, 4.01098728e-02
-3.16527033e+00, 4.07454297e-02
-3.16646957e+00, 3.98223214e-02
-3.16831946e+00, 3.22631039e-02
-3.17049360e+00, 3.09416540e-02
-3.17259598e+00, 3.56626809e-02
-3.17462754e+00, 3.88462506e-02
-3.17631316e+00, 4.65370342e-02
-3.17702198e+00, 4.87984046e-02
-3.17784357e+00, 4.95268330e-02
-3.17938018e+00, 4.44408618e-02
-3.18117738e+00, 4.22468111e-02
-3.18291807e+00, 4.50511500e-02
-3.18460703e+00, 4.56837639e-02
-3.18624878e+00, 4.94232625e-02
-3.18768382e+00, 5.39803430e-02
-3.18806529e+00, 5.47615178e-02
-3.18902397e+00, 5.56311384e-02
-3.18984652e+00, 5.54347187e-02
-3.19037247e+00, 5.56874499e-02
-3.19149899e+00, 5.79056852e-02
-3.19172025e+00, 5.84817976e-02
-3.19307041e+00, 6.21652901e-02
-3.19449329e+00, 6.90456331e-02
-3.19590163e+00, 7.43570402e-02
-3.19727182e+00, 7.12766051e-02
-3.19848537e+00, 6.44893423e-02
-3.19970655e+00, 7.35676810e-02
-3.20114493e+00, 7.95132071e-02
-3.20204043e+00, 8.00104588e-02
-3.20323205e+00, 7.91820735e-02
-3.20362186e+00, 8.03384185e-02
-3.20391035e+00, 8.13755617e-02
-3.20504546e+00, 8.89300928e-02
-3.20585489e+00, 9.45174545e-02
-3.20678616e+00, 1.01869285e-01
-3.20770764e+00, 1.10232741e-01
-3.20847845e+00, 1.14652440e-01
-3.20952439e+00, 1.10953793e-01
-3.20966244e+00, 1.10677049e-01
-3.21016169e+00, 1.10770203e-01
-3.21105003e+00, 1.21370062e-01
-3.21149445e+00, 1.18889704e-01
-3.21202493e+00, 1.17702730e-01
-3.21259284e+00, 1.20207943e-01
-3.21364093e+00, 1.24425627e-01
-3.21430421e+00, 1.28966659e-01
-3.21545029e+00, 1.16149783e-01
-3.21564579e+00, 1.12495266e-01
-3.21612954e+00, 1.03023142e-01
-3.21714592e+00, 6.24898411e-02
-3.21824908e+00, -9.07067135e-02
-3.21896029e+00, -1.96730226e-01
-3.21992588e+00, -1.55116856e-01
-3.22066975e+00, 1.63322195e-01
-3.22118950e+00, 5.78689337e-01
-3.22144842e+00, 8.51653576e-01
-3.22158480e+00, 1.02646017e+00
-3.22162676e+00, 1.05437422e+00
-3.22153902e+00, 9.41308796e-01
-3.22117996e+00, 6.09008551e-01
-3.22081184e+00, 3.71187150e-01
-3.21985340e+00, 1.04779042e-01
-3.21903872e+00, 1.37562364e-01
-3.21825027e+00, 2.13944718e-01
-3.21728516e+00, 2.59295434e-01
-3.21628594e+00, 2.70846635e-01
-3.21526504e+00, 2.74809837e-01
-3.21462011e+00, 2.70376951e-01
-3.21361136e+00, 2.68096536e-01
-3.21302938e+00, 2.66947746e-01
-3.21204853e+00, 2.65166283e-01
-3.21089244e+00, 2.58790314e-01
-3.21003294e+00, 2.48483226e-01
-3.20981693e+00, 2.46634930e-01
-3.20912147e+00, 2.46684194e-01
-3.20906949e+00, 2.46807069e-01
-3.20837736e+00, 2.42182299e-01
-3.20818067e+00, 2.39842415e-01
-3.20726252e+00, 2.30119973e-01
-3.20627332e+00, 2.27047116e-01
-3.20607305e+00, 2.26162732e-01
-3.20512152e+00, 2.23523363e-01
-3.20431948e+00, 2.18883872e-01
-3.20354843e+00, 2.10190743e-01
-3.20247459e+00, 2.05325931e-01
-3.20127106e+00, 2.09593475e-01
-3.20007014e+00, 2.00392738e-01
-3.20001364e+00, 1.99624687e-01
-3.19922566e+00, 1.89254850e-01
-3.19828081e+00, 1.88665569e-01
-3.19706488e+00, 1.94084138e-01
-3.19649267e+00, 1.96987614e-01
-3.19625306e+00, 1.98106483e-01
-3.19491625e+00, 1.90024376e-01
-3.19361877e+00, 1.80226654e-01
-3.19311619e+00, 1.78051144e-01
-3.19268227e+00, 1.76690936e-01
-3.19132304e+00, 1.75236493e-01
-3.18981934e+00, 1.73824161e-01
-3.18862867e+00, 1.66853756e-01
-3.18738294e+00, 1.60675585e-01
-3.18566513e+00, 1.61027372e-01
-3.18438578e+00, 1.62926793e-01
-3.18301606e+00, 1.61720634e-01
-3.18120122e+00, 1.57311931e-01
-3.17955923e+00, 1.57933846e-01
-3.17862868e+00, 1.56984538e-01
-3.17818260e+00, 1.56017855e-01
-3.17584133e+00, 1.48415849e-01
-3.17380357e+00, 1.42364666e-01
-3.17187047e+00, 1.35281056e-01
-3.17166328e+00, 1.35143638e-01
-3.16984439e+00, 1.39877409e-01
-3.16966653e+00, 1.40533060e-01
-3.16770029e+00, 1.43135428e-01
-3.16571474e+00, 1.37513205e-01
-3.16539621e+00, 1.36410326e-01
-3.16384530e+00, 1.31997555e-01
-3.16252422e+00, 1.30179077e-01
-3.16188359e+00, 1.30035400e-01
-3.15964079e+00, 1.29896060e-01
-3.15737057e+00, 1.24669626e-01
-3.15706730e+00, 1.23911873e-01
-3.15454769e+00, 1.21038273e-01
-3.15255523e+00, 1.18873611e-01
-3.15060210e+00, 1.16582528e-01
-3.14790750e+00, 1.15212522e-01
-3.14632177e+00, 1.14299022e-01
-3.14348769e+00, 1.11265339e-01
-3.14154577e+00, 1.09636649e-01
-3.13873625e+00, 1.08032688e-01
-3.13666725e+00, 1.06505081e-01
-3.13368940e+00, 1.05551064e-01
-3.13157630e+00, 1.04144767e-01
-3.12825394e+00, 9.99010131e-02
-3.12658525e+00, 9.88459289e-02
-3.12635016e+00, 9.87099260e-02
-3.12287402e+00, 9.86156762e-02
-3.12043858e+00, 9.85402465e-02
-3.11745262e+00, 9.80991349e-02
-3.11411905e+00, 8.93931910e-02
