Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
90,1.33379,1.00419e+06,2.84123,1361.53,58.1503,0,1362.77,1.12944,0.0904172,0,1.13305,123201,0.157364,321.844,1020.79,43.5977,0,1021.72
91,1.32233,995979,2.84908,1351.41,53.8479,0,1352.48,1.16089,0.0917158,0,1.16451,121727,0.146758,320.749,1021.99,40.722,0,1022.8
92,1.31077,987693,2.85707,1341.18,49.5457,0,1342.09,1.19234,0.0929238,0,1.19596,120245,0.136099,319.639,1023.2,37.799,0,1023.9
93,1.29912,979341,2.86519,1330.83,45.2503,0,1331.6,1.2238,0.0940399,0,1.22741,118758,0.125401,318.515,1024.41,34.8314,0,1025
94,1.28741,970934,2.87344,1320.4,40.9679,0,1321.03,1.25526,0.0950631,0,1.25886,117267,0.114677,317.379,1025.62,31.822,0,1026.12
95,1.27564,962482,2.88181,1309.88,36.7047,0,1310.39,1.28673,0.0959923,0,1.2903,115775,0.103942,316.231,1026.84,28.7736,0,1027.24
96,1.26383,953994,2.89029,1299.29,32.4666,0,1299.69,1.3182,0.0968266,0,1.32175,114283,0.0932096,315.073,1028.06,25.6891,0,1028.38
97,1.25199,945481,2.89888,1288.64,28.2593,0,1288.95,1.34967,0.097565,0,1.35319,112793,0.082492,313.905,1029.27,22.5715,0,1029.52
98,1.24014,936952,2.90756,1277.94,24.0882,0,1278.17,1.38114,0.0982069,0,1.38462,111307,0.0718024,312.73,1030.49,19.4238,0,1030.67
99,1.22828,928418,2.91633,1267.21,19.9586,0,1267.37,1.41261,0.0987515,0,1.41606,109826,0.0611532,311.549,1031.7,16.2492,0,1031.82
100,1.21644,919886,2.92519,1256.46,15.8754,0,1256.56,1.44409,0.0991983,0,1.44749,108353,0.0505564,310.362,1032.9,13.0507,0,1032.98
101,1.20463,911368,2.93411,1245.7,11.8434,0,1245.76,1.47556,0.0995469,0,1.47892,106889,0.0400235,309.17,1034.1,9.83154,0,1034.14
102,1.19285,902872,2.9431,1234.94,7.86688,0,1234.97,1.50704,0.0997968,0,1.51034,105435,0.0295659,307.976,1035.28,6.59502,0,1035.31
103,1.18113,894406,2.95215,1224.19,3.95016,0,1224.2,1.53852,0.0999479,0,1.54176,103993,0.0191942,306.78,1036.46,3.3444,0,1036.47
104,1.16946,885981,2.96124,1213.47,0.0970969,0,1213.47,1.57,0.1,0,1.57318,102565,0.00891872,305.583,1037.63,0.0830269,0,1037.63
105,1.15788,877604,2.97037,1202.79,-3.6887,0,1202.79,1.60147,0.0999529,0,1.60459,101151,-0.00125064,304.387,1038.79,-3.18575,0,1038.79
106,1.14638,869283,2.97953,1192.15,-7.40389,0,1192.17,1.63295,0.0998069,0,1.636,99753.5,-0.0113045,303.193,1039.93,-6.45852,0,1039.95
107,1.13497,861028,2.98871,1181.57,-11.0454,0,1181.62,1.66443,0.099562,0,1.6674,98373.1,-0.0212339,302.002,1041.06,-9.73188,0,1041.1
108,1.12367,852845,2.9979,1171.06,-14.6104,0,1171.15,1.69591,0.0992184,0,1.69881,97011.2,-0.0310303,300.815,1042.17,-13.0024,0,1042.25
109,1.1125,844743,3.0071,1160.63,-18.0965,0,1160.77,1.72738,0.0987766,0,1.7302,95669,-0.0406857,299.633,1043.27,-16.2665,0,1043.39
110,1.10145,836729,3.01629,1150.29,-21.5013,0,1150.49,1.75885,0.0982369,0,1.7616,94347.3,-0.0501926,298.458,1044.34,-19.5209,0,1044.53
111,1.09054,828810,3.02546,1140.05,-24.8229,0,1140.32,1.79033,0.0976,0,1.79299,93047.4,-0.0595438,297.291,1045.4,-22.762,0,1045.65
112,1.07977,820992,3.03461,1129.93,-28.0595,0,1130.27,1.8218,0.0968665,0,1.82437,91769.9,-0.0687326,296.132,1046.45,-25.9865,0,1046.77
113,1.06917,813283,3.04372,1119.92,-31.2097,0,1120.35,1.85326,0.0960371,0,1.85575,90516,-0.0777529,294.984,1047.47,-29.1907,0,1047.87
