[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
X [ m ],Pressure Coefficient
-3.20677900e+00, 2.21520498e-01
-3.20586872e+00, 2.18395635e-01
-3.20559883e+00, 2.18323365e-01
-3.20518732e+00, 2.18490586e-01
-3.20419121e+00, 2.11339414e-01
-3.20314026e+00, 1.99991807e-01
-3.20302558e+00, 1.99583814e-01
-3.20233321e+00, 1.99597269e-01
-3.20134425e+00, 2.03125596e-01
-3.19996715e+00, 1.92507342e-01
-3.19909763e+00, 1.82067037e-01
-3.19820356e+00, 1.82705134e-01
-3.19711971e+00, 1.92216039e-01
-3.19584775e+00, 1.93110034e-01
-3.19534469e+00, 1.88184738e-01
-3.19497275e+00, 1.84137315e-01
-3.19362879e+00, 1.73921198e-01
-3.19220924e+00, 1.71778038e-01
-3.19207215e+00, 1.71796590e-01
-3.19122529e+00, 1.72231033e-01
-3.18992186e+00, 1.69581681e-01
-3.18832731e+00, 1.59806773e-01
-3.18715620e+00, 1.56202644e-01
-3.18578267e+00, 1.57209873e-01
-3.18402410e+00, 1.59844890e-01
-3.18279243e+00, 1.57818466e-01
-3.18130970e+00, 1.54067144e-01
-3.17944288e+00, 1.54267803e-01
-3.17778206e+00, 1.50571004e-01
-3.17614365e+00, 1.45468295e-01
-3.17516899e+00, 1.43784434e-01
-3.17437744e+00, 1.41546369e-01
-3.17289829e+00, 1.35390639e-01
-3.17259932e+00, 1.34257719e-01
-3.17074299e+00, 1.32804781e-01
-3.17069626e+00, 1.32925838e-01
-3.16882133e+00, 1.39899015e-01
-3.16854024e+00, 1.40288502e-01
-3.16676855e+00, 1.38802573e-01
-3.16642928e+00, 1.37858376e-01
-3.16439557e+00, 1.30716175e-01
-3.16205645e+00, 1.26745090e-01
-3.15959263e+00, 1.27174214e-01
-3.15712404e+00, 1.21651292e-01
-3.15426803e+00, 1.18224300e-01
-3.15285015e+00, 1.16946563e-01
-3.15037251e+00, 1.14346772e-01
-3.14819193e+00, 1.13166824e-01
-3.14622593e+00, 1.12131163e-01
-3.14340591e+00, 1.08965456e-01
-3.14164758e+00, 1.07383370e-01
-3.13855577e+00, 1.05678402e-01
-3.13678217e+00, 1.04404919e-01
-3.13350725e+00, 1.03590116e-01
-3.13161802e+00, 1.02640495e-01
-3.12829828e+00, 9.83149484e-02
-3.12600350e+00, 9.69323069e-02
-3.12305331e+00, 9.68461335e-02
-3.12009716e+00, 9.68684852e-02
-3.11758161e+00, 9.66883525e-02
-3.11416650e+00, 8.82921964e-02
-3.11083031e+00, 8.60850662e-02
-3.10734034e+00, 9.23632234e-02
